tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,genre1,genre2,genre3,url,averageRating,numVotes
tt0084967,tvSeries,The A-Team,The A-Team,0,1983,1987,60,"Action,Adventure,Crime",Action,Adventure,Crime,https://www.imdb.com/title/tt0084967,7.5,34053
tt0084988,tvSeries,Blackadder,The Black Adder,0,1982,1983,195,Comedy,Comedy,,,https://www.imdb.com/title/tt0084988,8.1,35591
tt0085244,movie,The Big Chill,The Big Chill,0,1983,,105,"Comedy,Drama",Comedy,Drama,,https://www.imdb.com/title/tt0085244,7.2,32768
tt0085333,movie,Christine,Christine,0,1983,,110,"Horror,Thriller",Horror,Thriller,,https://www.imdb.com/title/tt0085333,6.7,72195
tt0085334,movie,A Christmas Story,A Christmas Story,0,1983,,93,"Comedy,Family",Comedy,Family,,https://www.imdb.com/title/tt0085334,7.9,132475
tt0085382,movie,Cujo,Cujo,0,1983,,93,"Horror,Thriller",Horror,Thriller,,https://www.imdb.com/title/tt0085382,6.1,39564
tt0085407,movie,The Dead Zone,The Dead Zone,0,1983,,103,"Drama,Horror,Sci-Fi",Drama,Horror,Sci-Fi,https://www.imdb.com/title/tt0085407,7.2,62033
tt0085549,movie,Flashdance,Flashdance,0,1983,,95,"Drama,Music,Romance",Drama,Music,Romance,https://www.imdb.com/title/tt0085549,6.2,47596
tt0085636,movie,Halloween III: Season of the Witch,Halloween III: Season of the Witch,0,1982,,98,"Horror,Mystery,Sci-Fi",Horror,Mystery,Sci-Fi,https://www.imdb.com/title/tt0085636,5.0,43755
tt0085750,movie,Jaws 3-D,Jaws 3-D,0,1983,,99,"Adventure,Horror,Thriller",Adventure,Horror,Thriller,https://www.imdb.com/title/tt0085750,3.7,39696
tt0085794,movie,The King of Comedy,The King of Comedy,0,1982,,109,"Comedy,Crime,Drama",Comedy,Crime,Drama,https://www.imdb.com/title/tt0085794,7.8,87572
tt0085809,movie,Koyaanisqatsi,Koyaanisqatsi,0,1982,,86,"Documentary,Music",Documentary,Music,,https://www.imdb.com/title/tt0085809,8.3,35187
tt0085811,movie,Krull,Krull,0,1983,,116,"Action,Adventure,Fantasy",Action,Adventure,Fantasy,https://www.imdb.com/title/tt0085811,6.1,30233
tt0085959,movie,The Meaning of Life,The Meaning of Life,0,1983,,107,"Comedy,Musical",Comedy,Musical,,https://www.imdb.com/title/tt0085959,7.5,113620
tt0085995,movie,National Lampoon's Vacation,National Lampoon's Vacation,0,1983,,98,"Adventure,Comedy",Adventure,Comedy,,https://www.imdb.com/title/tt0085995,7.4,96993
